"Vorwahl";"Ortsnetzname";"Gemeindename";"Gemeindekennzahl"
"0201";"Essen";"Essen, Stadt";"05113000"
"0202";"Wuppertal";"Ennepetal, Stadt";"05954008"
"0202";"Wuppertal";"Haan, Stadt";"05158008"
"0202";"Wuppertal";"Hattingen, Stadt";"05954016"
"0202";"Wuppertal";"Radevormwald, Stadt";"05374036"
"0202";"Wuppertal";"Remscheid, Stadt";"05120000"
"0202";"Wuppertal";"Schwelm, Stadt";"05954024"
"0202";"Wuppertal";"Solingen, Stadt";"05122000"
"0202";"Wuppertal";"Sprockhovel, Stadt";"05954028"
"0202";"Wuppertal";"Wulfrath, Stadt";"05158036"
"0202";"Wuppertal";"Wuppertal, Stadt";"05124000"
"0203";"Duisburg";"Duisburg, Stadt";"05112000"
"0203";"Duisburg";"Dusseldorf, Stadt";"05111000"
"02041";"Bottrop";"Bottrop, Stadt";"05512000"
"02043";"Gladbeck";"Gladbeck, Stadt";"05562014"
"02045";"Bottrop-Kirchhellen";"Bottrop, Stadt";"05512000"
"02051";"Velbert";"Heiligenhaus, Stadt";"05158012"
"02051";"Velbert";"Velbert, Stadt";"05158032"
"02051";"Velbert";"Wulfrath, Stadt";"05158036"
"02052";"Velbert-Langenberg";"Hattingen, Stadt";"05954016"
"02052";"Velbert-Langenberg";"Velbert, Stadt";"05158032"
"02053";"Velbert-Neviges";"Velbert, Stadt";"05158032"
"02053";"Velbert-Neviges";"Wulfrath, Stadt";"05158036"
"02053";"Velbert-Neviges";"Wuppertal, Stadt";"05124000"
"02054";"Essen-Kettwig";"Essen, Stadt";"05113000"
"02054";"Essen-Kettwig";"Heiligenhaus, Stadt";"05158012"
"02054";"Essen-Kettwig";"Mulheim an der Ruhr, Stadt";"05117000"
"02054";"Essen-Kettwig";"Ratingen, Stadt";"05158028"
"02056";"Heiligenhaus";"Heiligenhaus, Stadt";"05158012"
"02056";"Heiligenhaus";"Velbert, Stadt";"05158032"
"02056";"Heiligenhaus";"Wulfrath, Stadt";"05158036"
"02058";"Wulfrath";"Haan, Stadt";"05158008"
"02058";"Wulfrath";"Heiligenhaus, Stadt";"05158012"
"02058";"Wulfrath";"Mettmann, Stadt";"05158024"
"02058";"Wulfrath";"Ratingen, Stadt";"05158028"
"02058";"Wulfrath";"Wulfrath, Stadt";"05158036"
"02058";"Wulfrath";"Wuppertal, Stadt";"05124000"
"02064";"Dinslaken";"Dinslaken, Stadt";"05170008"
